tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.117427;3.36336;0;0.38;6001;39.4864;2.7;2.5401;1
0.117427;3.36336;0;0.38;6001;39.4864;2.7;2.5401;1
0.180023;3.06716;0;0.38;6001;39.4237;2.7;1.8933;1
0.180023;3.06716;0;0.38;6001;39.4237;2.7;1.8933;1
0.262334;2.60357;0;0.38;3057;33.5705;2.7;2.6189;0
0.293743;2.43224;0;0.38;1;40.2522;2.7;2.7004;0
0.292728;3.29611;0;0.38;1;40.1806;2.7;2.7708;0
0.18335;2.60993;0;0.38;6001;38.637;2.7;2.7708;1
0.18335;2.60993;0;0.38;6001;38.637;2.7;2.7708;1
0.209276;1.7674;0;0.38;2186;31.3724;2.7;2.6422;0
0.269406;3.12583;0;0.38;1;39.5147;2.7;2.7399;0
0.256494;1.94283;0;0.38;1;39.4583;2.7;2.8289;0
0.163247;2.40411;0;0.38;6001;38.8905;2.7;2.8289;1
0.163247;2.40411;0;0.38;6001;38.8905;2.7;2.8289;1
0.133205;2.24984;0;0.38;6001;39.477;2.7;2.5794;1
0.133205;2.24984;0;0.38;6001;39.477;2.7;2.5794;1
0.135326;1.65474;0;0.38;2165;32.5462;2.7;2.6784;0
0.235244;1.71355;0;0.38;1;40.868;2.7;2.7066;0
0.133501;3.56175;0;0.38;1;40.868;2.7;2.7066;0
0.234952;2.75555;0;0.38;2543;33.8535;2.7;2.7066;0
0.21903;2.12358;0;0.38;1;38.8043;2.7;3.1301;0
0.119607;2.84525;0;0.38;1;38.7621;2.7;3.2597;0
0.290193;1.66535;0;0.38;935;22.6553;2.7;3.2597;0
0.19352;2.02522;0;0.38;1;34.6603;2.7;2.7356;0
0.221335;2.97614;0;0.38;1;34.6035;2.7;2.7756;0
0.135151;3.08313;0;0.38;6001;39.2339;2.7;2.7756;1
0.135151;3.08313;0;0.38;6001;39.2339;2.7;2.7756;1
0.25104;2.21824;0;0.38;1122;26.338;2.7;2.5647;0
0.129932;3.1654;0;0.38;1;38.499;2.7;2.7422;0
0.259297;1.59896;0;0.38;1;38.4257;2.7;2.819;0
0.15954;2.69998;0;0.38;4822;38.7754;2.7;2.819;0
0.162424;3.5453;0;0.38;1;41.5041;2.7;3.0023;0
0.190134;2.18717;0;0.38;1;41.5041;2.7;3.0023;0
0.260805;3.54777;0;0.38;1813;32.8149;2.7;3.0023;0
0.148382;1.78954;0;0.38;1;34.2228;2.7;2.7504;0
0.204702;2.2401;0;0.38;1;34.1213;2.7;2.8497;0
0.295993;3.05031;0;0.38;1822;33.1282;2.7;2.8497;0
0.110315;2.72522;0;0.38;1;35.1105;2.7;3.301;0
0.262747;3.53851;0;0.38;1;35.1105;2.7;3.301;0
0.181695;2.81823;0;0.38;1315;32.3153;2.7;3.301;0
0.283619;1.65312;0;0.38;1;35.2103;2.7;6.2217;0
0.28115;1.93212;0;0.38;1;34.8231;2.7;6.8328;0
0.166057;2.36928;0;0.38;144;17.3194;2.7;6.8328;0
