tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.0970295;3.85038;0;0.41;1164;28.1752;2.7;2.6126;0
0.159625;3.55418;0;0.41;1;41.2544;2.7;2.7407;0
0.241936;3.09059;0;0.41;1;41.0466;2.7;2.8466;0
0.273345;2.91926;0;0.41;2302;36.3861;2.7;2.8466;0
0.27233;3.78313;0;0.41;1;39.2646;2.7;2.9519;0
0.162952;3.09695;0;0.41;1;39.1668;2.7;3.0711;0
0.188878;2.25442;0;0.41;2809;36.7983;2.7;3.0711;0
0.249008;3.61285;0;0.41;1;43.0878;2.7;2.7429;0
0.236096;2.42985;0;0.41;1;43.0878;2.7;2.7429;0
0.142849;2.89113;0;0.41;5853;41.8679;2.7;2.7429;0
0.112807;2.73686;0;0.41;1;44.3791;2.7;2.71;0
0.114928;2.14176;0;0.41;1;44.3791;2.7;2.71;0
0.214846;2.20057;0;0.41;2937;36.3502;2.7;2.71;0
0.113103;4.04877;0;0.41;1;42.5594;2.7;2.9156;0
0.214554;3.24257;0;0.41;1;42.478;2.7;3.1313;0
0.198632;2.6106;0;0.41;2695;36.3847;2.7;3.1313;0
0.099209;3.33227;0;0.41;1;44.3977;2.7;2.7406;0
0.269795;2.15237;0;0.41;1;44.3977;2.7;2.7406;0
0.173122;2.51224;0;0.41;4937;41.1198;2.7;2.7406;0
0.200937;3.46316;0;0.41;1;42.8591;2.7;2.7039;0
0.114753;3.57015;0;0.41;1;42.7357;2.7;2.7608;0
0.230642;2.70526;0;0.41;1871;36.7459;2.7;2.7608;0
0.109534;3.65242;0;0.41;1;43.3529;2.7;2.7255;0
0.238899;2.08598;0;0.41;1;43.304;2.7;2.7544;0
0.139142;3.187;0;0.41;1853;37.7837;2.7;2.7544;0
0.142026;4.03232;0;0.41;1;43.8055;2.7;2.7312;0
0.169736;2.67419;0;0.41;1;43.7045;2.7;2.8911;0
0.240407;4.03479;0;0.41;986;30.1872;2.7;2.8911;0
0.127984;2.27656;0;0.41;1;10.8687;2.7;2.7861;0
0.184304;2.72712;0;0.41;1;5.7075;2.7;2.8531;0
0.275595;3.53733;0;0.41;989;31.4406;2.7;2.8531;0
0.0899166;3.21224;0;0.41;1;41.4243;2.7;2.7118;0
0.242349;4.02553;0;0.41;1;41.3235;2.7;2.8431;0
0.161297;3.30525;0;0.41;1740;34.5422;2.7;2.8431;0
0.263221;2.14014;0;0.41;1;43.243;2.7;3.3621;0
0.260752;2.41914;0;0.41;1;43.2233;2.7;3.5861;0
