tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.243829;2.06053;0;0.25;1;24.8111;2.7;3.0253;0
0.320647;2.04297;0;0.25;824;19.2295;2.7;3.0253;0
0.402475;2.12105;0;0.25;1;25.3369;2.7;2.7416;0
0.394394;1.93576;0;0.25;1;25.3092;2.7;2.8645;0
0.375274;1.85438;0;0.25;700;17.8154;2.7;2.8645;0
0.400614;2.00491;0;0.25;1;24.0088;2.7;3.1702;0
0.254136;1.88354;0;0.25;1;23.8263;2.7;3.3218;0
0.406032;2.10326;0;0.25;724;17.3129;2.7;3.3218;0
0.257779;2.03048;0;0.25;1;23.5142;2.7;2.8262;0
0.298872;2.04797;0;0.25;1;23.5713;2.7;2.86;0
0.393097;2.03794;0;0.25;770;18.1582;2.7;2.86;0
0.223119;1.78601;0;0.25;1;22.4757;2.7;2.9972;0
0.409164;1.89028;0;0.25;1;22.4247;2.7;3.0317;0
0.242732;2.14098;0;0.25;1158;21.4596;2.7;3.0317;0
0.25076;1.86496;0;0.25;1;25.7336;2.7;2.7444;0
0.252288;1.92135;0;0.25;1;25.7336;2.7;2.7444;0
0.386208;1.89528;0;0.25;772;18.6152;2.7;2.7444;0
0.315424;2.10503;0;0.25;1;23.0906;2.7;2.7212;0
0.35405;1.94139;0;0.25;1;23.1149;2.7;2.8329;0
0.373528;2.08515;0;0.25;694;17.5096;2.7;2.8329;0
0.324315;2.15292;0;0.25;1;21.8585;2.7;2.7742;0
0.286909;1.9839;0;0.25;1;21.8697;2.7;2.8559;0
0.261312;1.95923;0;0.25;896;19.7972;2.7;2.8559;0
0.385716;1.88333;0;0.25;1;24.9941;2.7;2.9328;0
0.248612;2.0545;0;0.25;1;24.948;2.7;2.9524;0
0.264965;1.83214;0;0.25;1928;22.8068;2.7;2.9524;0
0.398767;2.02831;0;0.25;1;24.6673;2.7;3.0738;0
0.406848;1.96185;0;0.25;1;24.6555;2.7;3.1154;0
0.250286;2.06319;0;0.25;1851;23.237;2.7;3.1154;0
0.297783;1.78304;0;0.25;1;27.0402;2.7;3.0116;0
0.38716;2.07381;0;0.25;1;27.0402;2.7;3.0116;0
0.405707;1.92944;0;0.25;771;18.8475;2.7;3.0116;0
0.342618;1.88749;0;0.25;1;24.5134;2.7;3.4124;0
0.363565;2.01075;0;0.25;1;24.484;2.7;3.4554;0
0.281648;1.83205;0;0.25;744;18.455;2.7;3.4554;0
0.27683;2.11344;0;0.25;1;25.2537;2.7;2.7268;0
0.366595;2.09874;0;0.25;1;25.0964;2.7;2.8132;0
0.262056;1.99709;0;0.25;1178;21.4427;2.7;2.8132;0
0.302061;1.86191;0;0.25;1;23.3783;2.7;2.8035;0
0.348497;2.05551;0;0.25;1;8.164;2.7;2.8751;0
0.239243;2.02072;0;0.25;815;19.5475;2.7;2.8751;0
0.237273;1.82912;0;0.25;1;25.5918;2.7;3.5578;0
0.328096;1.86107;0;0.25;1;25.5489;2.7;3.5958;0
0.279721;2.14058;0;0.25;1632;22.8798;2.7;3.5958;0
0.326526;2.04853;0;0.25;1;23.8822;2.7;2.7249;0
0.404995;2.06281;0;0.25;1;23.6792;2.7;2.8324;0
0.387348;1.81474;0;0.25;691;17.8726;2.7;2.8324;0
0.352572;2.12902;0;0.25;1;22.9864;2.7;2.7451;0
0.416914;1.96793;0;0.25;1;22.9514;2.7;2.9179;0
0.396454;1.78258;0;0.25;602;17.2853;2.7;2.9179;0
0.332656;1.84757;0;0.25;1;23.3272;2.7;2.7218;0
0.352374;1.84591;0;0.25;1;23.2713;2.7;2.7543;0
0.324723;2.05469;0;0.25;741;18.8334;2.7;2.7543;0
0.344096;1.88189;0;0.25;1;24.1861;2.7;2.7264;0
0.323389;1.99833;0;0.25;1;24.1541;2.7;2.7506;0
0.413695;2.05796;0;0.25;765;19.1328;2.7;2.7506;0
0.374928;2.05284;0;0.25;1;23.2506;2.7;2.7866;0
0.273816;1.8726;0;0.25;1;23.1143;2.7;2.8758;0
0.408676;1.98376;0;0.25;687;17.8261;2.7;2.8758;0
0.298581;1.85155;0;0.25;1;22.7577;2.7;3.5504;0
0.403756;1.90785;0;0.25;1;22.5964;2.7;3.6371;0
0.228827;2.02715;0;0.25;1684;23.9704;2.7;3.6371;0
0.413524;2.04093;0;0.25;1;26.8518;2.7;2.7342;0
0.390513;2.07566;0;0.25;1;26.8254;2.7;2.8104;0
0.241877;1.93149;0;0.25;1046;21.6186;2.7;2.8104;0
0.391196;1.7861;0;0.25;1;25.7779;2.7;2.7753;0
0.378762;1.98239;0;0.25;1;25.7977;2.7;2.7569;0
