tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.177922;2.47098;0;0.32;6001;33.1255;2.7;1.9296;1
0.177922;2.47098;0;0.32;6001;33.1255;2.7;1.9296;1
0.20922;2.29326;0;0.32;6001;32.1363;2.7;2.4699;1
0.20922;2.29326;0;0.32;6001;32.1363;2.7;2.4699;1
0.250376;2.01511;0;0.32;6001;31.3384;2.7;2.5176;1
0.250376;2.01511;0;0.32;6001;31.3384;2.7;2.5176;1
0.26608;1.91231;0;0.32;3029;29.5035;2.7;2.678;0
0.265572;2.43063;0;0.32;1;32.5732;2.7;2.709;0
0.210883;2.01892;0;0.32;1;32.5732;2.7;2.709;0
0.223846;1.51341;0;0.32;2110;26.1797;2.7;2.709;0
0.253912;2.32847;0;0.32;1;1.0162;2.7;3.1117;0
0.247456;1.61866;0;0.32;1;1.0162;2.7;3.1117;0
0.200832;1.89543;0;0.32;6001;33.6364;2.7;3.1117;1
0.200832;1.89543;0;0.32;6001;33.6364;2.7;3.1117;1
0.185811;1.80287;0;0.32;6001;32.7815;2.7;2.5703;1
0.185811;1.80287;0;0.32;6001;32.7815;2.7;2.5703;1
0.186871;1.44581;0;0.32;2645;28.4526;2.7;2.6774;0
0.23683;1.48109;0;0.32;1;34.3184;2.7;2.7926;0
0.185959;2.59002;0;0.32;1;34.3145;2.7;2.8406;0
0.236684;2.1063;0;0.32;3224;29.164;2.7;2.8406;0
0.228724;1.72711;0;0.32;1;34.6864;2.7;2.7096;0
0.179012;2.16012;0;0.32;1;34.6686;2.7;2.7569;0
0.264305;1.45218;0;0.32;2241;25.8454;2.7;2.7569;0
0.215969;1.6681;0;0.32;1;31.4853;2.7;2.752;0
0.229876;2.23865;0;0.32;1;31.4474;2.7;2.8361;0
0.186784;2.30284;0;0.32;6001;33.0003;2.7;2.8361;1
0.186784;2.30284;0;0.32;6001;33.0003;2.7;2.8361;1
0.244729;1.78391;0;0.32;3357;28.9989;2.7;2.6447;0
0.184174;2.3522;0;0.32;1;31.2554;2.7;2.8142;0
0.248857;1.41234;0;0.32;1;31.1999;2.7;2.978;0
0.198978;2.07295;0;0.32;4487;31.672;2.7;2.978;0
0.200421;2.58014;0;0.32;6001;32.794;2.7;2.7053;1
0.200421;2.58014;0;0.32;6001;32.794;2.7;2.7053;1
0.214275;1.76527;0;0.32;3151;30.6112;2.7;2.6748;0
0.249611;2.58163;0;0.32;1;34.9065;2.7;2.7597;0
0.193399;1.52669;0;0.32;1;34.891;2.7;2.8377;0
