tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.196509;2.67253;0;0.28;6001;28.9685;2.7;1.8566;1
0.196509;2.67253;0;0.28;6001;28.9685;2.7;1.8566;1
0.227807;2.46519;0;0.28;6001;28.5859;2.7;1.9839;1
0.227807;2.46519;0;0.28;6001;28.5859;2.7;1.9839;1
0.268963;2.14067;0;0.28;2592;26.6309;2.7;1.9061;0
0.284667;2.02074;0;0.28;1;29.2546;2.7;2.9048;0
0.284159;2.62545;0;0.28;1;29.1326;2.7;3.066;0
0.22947;2.14512;0;0.28;2755;28.5226;2.7;3.066;0
0.242433;1.55535;0;0.28;1;29.9649;2.7;2.7907;0
0.272499;2.50626;0;0.28;1;29.7564;2.7;2.9906;0
0.266043;1.67815;0;0.28;6001;29.2999;2.7;2.9906;1
0.266043;1.67815;0;0.28;6001;29.2999;2.7;2.9906;1
0.219419;2.00105;0;0.28;6001;29.7416;2.7;2.1604;1
0.219419;2.00105;0;0.28;6001;29.7416;2.7;2.1604;1
0.204398;1.89306;0;0.28;6001;29.4318;2.7;2.5921;1
0.204398;1.89306;0;0.28;6001;29.4318;2.7;2.5921;1
0.205458;1.47649;0;0.28;3429;27.6651;2.7;2.5237;0
0.255417;1.51765;0;0.28;1;27.3136;2.7;2.7565;0
0.204546;2.8114;0;0.28;1;27.3347;2.7;2.8149;0
0.255271;2.24706;0;0.28;619;19.239;2.7;2.8149;0
0.247311;1.80468;0;0.28;1;24.4804;2.7;2.7827;0
0.197599;2.30985;0;0.28;1;24.2813;2.7;3.4357;0
0.282892;1.48392;0;0.28;631;20.0512;2.7;3.4357;0
0.234556;1.73583;0;0.28;1;28.6537;2.7;2.7352;0
0.248463;2.40147;0;0.28;1;28.5715;2.7;2.7733;0
0.205371;2.47636;0;0.28;2947;28.3801;2.7;2.7733;0
0.263316;1.87094;0;0.28;1;30.6918;2.7;2.7563;0
0.202761;2.53395;0;0.28;1;30.6094;2.7;2.791;0
0.267444;1.43744;0;0.28;1578;25.9726;2.7;2.791;0
0.217565;2.20816;0;0.28;1;27.5996;2.7;2.7124;0
0.219008;2.79988;0;0.28;1;27.5996;2.7;2.7124;0
0.232862;1.84919;0;0.28;6001;28.5154;2.7;2.7124;1
0.232862;1.84919;0;0.28;6001;28.5154;2.7;2.7124;1
0.268198;2.80161;0;0.28;6001;29.0135;2.7;2.242;1
0.268198;2.80161;0;0.28;6001;29.0135;2.7;2.242;1
0.211986;1.57085;0;0.28;3231;27.0955;2.7;2.6769;0
0.240147;1.88624;0;0.28;1;30.8226;2.7;2.7212;0
0.285792;2.45339;0;0.28;1;30.7671;2.7;2.7589;0
0.192953;2.22582;0;0.28;6001;29.4549;2.7;2.7589;1
0.192953;2.22582;0;0.28;6001;29.4549;2.7;2.7589;1
0.269169;2.79513;0;0.28;4188;27.5894;2.7;2.6588;0
0.228643;2.29093;0;0.28;1;27.7288;2.7;3.9391;0
0.279605;1.47536;0;0.28;1;27.6172;2.7;3.959;0
0.27837;1.67066;0;0.28;656;21.3322;2.7;3.959;0
0.220824;1.97667;0;0.28;1;27.8625;2.7;2.775;0
0.206333;1.78477;0;0.28;1;27.7943;2.7;2.8079;0
0.207656;1.62208;0;0.28;2184;27.9488;2.7;2.8079;0
0.268189;1.64252;0;0.28;1;29.7263;2.7;2.8164;0
0.213579;2.81584;0;0.28;1;29.6823;2.7;2.9417;0
0.272741;1.5214;0;0.28;589;16.5618;2.7;2.9417;0
0.188821;2.03978;0;0.28;1;27.1428;2.7;2.717;0
0.201572;1.77319;0;0.28;1;26.9378;2.7;2.866;0
0.257845;1.71387;0;0.28;1362;25.5931;2.7;2.866;0
0.227445;1.62372;0;0.28;1;27.8742;2.7;2.794;0
0.235318;1.93068;0;0.28;1;27.7863;2.7;2.8865;0
0.285217;1.76391;0;0.28;1762;25.1897;2.7;2.8865;0
0.282026;2.25903;0;0.28;1;27.1572;2.7;2.7405;0
0.221159;1.84993;0;0.28;1;27.0662;2.7;2.8087;0
0.232984;1.99692;0;0.28;2262;26.797;2.7;2.8087;0
0.262457;1.49055;0;0.28;1;29.3034;2.7;3.1307;0
0.189826;2.17281;0;0.28;1;29.2745;2.7;3.2156;0
0.22581;2.1135;0;0.28;1232;23.6463;2.7;3.2156;0
0.266425;2.67542;0;0.28;1;5.3324;2.7;3.2714;0
0.220157;1.6276;0;0.28;1;5.0362;2.7;3.2817;0
0.209198;1.72597;0;0.28;1058;25.0337;2.7;3.2817;0
0.263288;2.5306;0;0.28;1;28.9213;2.7;2.704;0
0.226051;1.94724;0;0.28;1;28.8265;2.7;2.8031;0
0.252486;2.57602;0;0.28;2041;26.7446;2.7;2.8031;0
0.240444;1.71709;0;0.28;1;29.1739;2.7;2.7343;0
0.251963;2.45879;0;0.28;1;29.1186;2.7;2.7443;0
0.227947;1.43419;0;0.28;1133;23.9213;2.7;2.7443;0
0.274396;2.32615;0;0.28;1;30.3038;2.7;2.708;0
0.250609;2.24966;0;0.28;1;30.2372;2.7;2.7766;0
0.249552;2.07986;0;0.28;1071;23.1334;2.7;2.7766;0
0.203885;1.62376;0;0.28;1;29.2048;2.7;2.7707;0
0.197684;2.06017;0;0.28;1;29.1365;2.7;2.8461;0
0.239442;1.61138;0;0.28;695;21.1019;2.7;2.8461;0
0.190959;2.80124;0;0.28;1;29.2487;2.7;2.7123;0
0.188208;1.95549;0;0.28;1;29.0568;2.7;2.779;0
0.208103;1.92291;0;0.28;1081;23.2665;2.7;2.779;0
0.250528;1.92377;0;0.28;1;12.0028;2.7;3.1214;0
0.25405;2.61801;0;0.28;1;11.5665;2.7;3.0622;0
0.205988;2.3114;0;0.28;1527;25.8296;2.7;3.0622;0
0.231136;2.47987;0;0.28;1;29.533;2.7;2.7144;0
0.196211;2.2755;0;0.28;1;29.5022;2.7;2.7284;0
0.273414;1.81164;0;0.28;1318;23.7342;2.7;2.7284;0
0.195141;1.62356;0;0.28;1;28.4936;2.7;2.7169;0
0.28258;2.73541;0;0.28;1;28.4593;2.7;2.7567;0
0.19942;2.44942;0;0.28;5023;29.3376;2.7;2.7567;0
0.237829;2.38796;0;0.28;1;30.8784;2.7;2.7969;0
0.278744;2.66124;0;0.28;1;30.8433;2.7;2.8923;0
0.274703;2.01274;0;0.28;731;20.4667;2.7;2.8923;0
0.265143;1.7279;0;0.28;1;27.7006;2.7;3.2256;0
0.277813;2.25476;0;0.28;1;27.6717;2.7;3.2496;0
0.204574;1.82994;0;0.28;1377;24.09;2.7;3.2496;0
0.280522;2.59896;0;0.28;1;29.2101;2.7;2.7039;0
0.206395;2.34425;0;0.28;1;29.2065;2.7;2.732;0
0.226942;2.40548;0;0.28;2019;26.0449;2.7;2.732;0
0.274054;2.37036;0;0.28;1;29.2177;2.7;2.7142;0
0.189066;1.48861;0;0.28;1;29.1968;2.7;2.8194;0
0.282088;1.85356;0;0.28;948;20.1708;2.7;2.8194;0
0.198872;2.73101;0;0.28;1;26.2333;2.7;2.7331;0
0.202886;1.76493;0;0.28;1;25.872;2.7;3.1262;0
0.20365;1.96228;0;0.28;2373;27.1724;2.7;3.1262;0
0.27061;1.87103;0;0.28;1;30.0605;2.7;2.738;0
0.235218;2.60516;0;0.28;1;30.0444;2.7;2.8162;0
0.254531;2.03244;0;0.28;1050;21.75;2.7;2.8162;0
0.26427;2.53559;0;0.28;1;27.9296;2.7;2.726;0
0.239664;2.7728;0;0.28;1;27.9296;2.7;2.726;0
0.22096;2.18121;0;0.28;1970;25.9229;2.7;2.726;0
0.208162;2.09487;0;0.28;1;29.1367;2.7;2.733;0
0.270364;1.8292;0;0.28;1;29.1367;2.7;2.733;0
0.201812;2.4283;0;0.28;2014;26.2608;2.7;2.733;0
0.209988;1.65007;0;0.28;1;30.0752;2.7;2.7559;0
0.27689;2.33666;0;0.28;1;30.0752;2.7;2.7559;0
0.28093;2.10406;0;0.28;1029;21.2767;2.7;2.7559;0
0.202649;2.45873;0;0.28;1;26.6281;2.7;3.3884;0
0.226397;1.4782;0;0.28;1;26.6519;2.7;3.4413;0
0.271086;2.4959;0;0.28;978;21.4568;2.7;3.4413;0
0.280359;1.99061;0;0.28;1;28.8645;2.7;2.7436;0
0.248815;1.84377;0;0.28;1;28.8645;2.7;2.7436;0
0.259288;2.27518;0;0.28;1251;23.3056;2.7;2.7436;0
0.21833;1.64974;0;0.28;1;26.448;2.7;2.7073;0
0.215921;2.6346;0;0.28;1;26.415;2.7;2.7486;0
0.260804;2.58315;0;0.28;2277;25.7302;2.7;2.7486;0
0.208534;2.22739;0;0.28;1;27.294;2.7;2.9431;0
0.228536;1.75424;0;0.28;1;27.294;2.7;2.9431;0
0.251754;2.43183;0;0.28;2048;25.1726;2.7;2.9431;0
0.197128;2.3101;0;0.28;1;27.7745;2.7;3.0302;0
0.196143;1.63949;0;0.28;1;27.7483;2.7;3.0478;0
0.241554;1.75132;0;0.28;1114;23.2427;2.7;3.0478;0
0.217367;2.72959;0;0.28;1;28.8164;2.7;3.4074;0
0.240769;2.40741;0;0.28;1;28.786;2.7;3.4463;0
0.280004;2.4574;0;0.28;950;21.3004;2.7;3.4463;0
0.27118;1.58915;0;0.28;1;26.6422;2.7;2.7263;0
0.253792;2.68912;0;0.28;1;26.5731;2.7;2.8085;0
0.285963;2.1253;0;0.28;772;20.0891;2.7;2.8085;0
0.275733;1.47661;0;0.28;1;27.542;2.7;2.9512;0
0.243834;1.70405;0;0.28;1;27.5163;2.7;2.9642;0
0.253693;1.69825;0;0.28;934;21.3906;2.7;2.9642;0
0.239867;2.42898;0;0.28;1;28.7887;2.7;2.8142;0
0.249554;1.82417;0;0.28;1;28.7822;2.7;2.9535;0
0.239201;2.23172;0;0.28;875;21.2155;2.7;2.9535;0
