tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.0707273;1.59372;2.40148e-05;0.44;1568;36.0885;3;3.5352;0
0.0866436;1.57511;3.0593e-05;0.44;1;49.1877;3;3.0243;0
0.120583;1.5756;1.82423e-05;0.44;1;49.1852;3;3.087;0
0.123401;1.97231;1.93634e-05;0.44;1668;36.2722;3;3.087;0
0.0849512;1.7971;2.55048e-05;0.44;1;47.4829;3;3.0188;0
0.10507;1.89337;1.64787e-05;0.44;1;47.424;3;3.1249;0
0.0771296;1.77659;2.89248e-05;0.44;755;27.7992;3;3.1249;0
0.138892;1.51152;2.89187e-05;0.44;1;44.5781;3;4.149;0
0.0762741;1.40405;1.84175e-05;0.44;1;44.5414;3;4.2453;0
0.146225;2.03939;3.42694e-05;0.44;90;17.8125;3;4.2453;0
0.0796975;1.87597;3.06752e-05;0.44;1;32.4634;3;3.1196;0
0.110425;1.84085;3.05052e-05;0.44;1;32.4943;3;3.3658;0
0.143156;1.99701;3.20019e-05;0.44;1133;41.7349;3;3.3658;0
0.139924;1.62644;2.5512e-05;0.44;1;47.8557;3;3.2443;0
0.132276;1.46367;1.6208e-05;0.44;1;47.7965;3;3.314;0
0.142412;1.76473;1.76102e-05;0.44;1386;34.1612;3;3.314;0
0.0838203;1.52198;3.56475e-05;0.44;1;44.9065;3;3.0158;0
0.144579;1.96142;3.25314e-05;0.44;1;44.6923;3;3.2487;0
0.0852775;1.81587;2.0344e-05;0.44;857;28.0477;3;3.2487;0
0.101715;1.85086;1.69931e-05;0.44;1;41.5961;3;4.4705;0
0.139405;1.83079;2.93168e-05;0.44;1;41.4135;3;4.7892;0
0.0714138;1.32693;2.91674e-05;0.44;1115;35.0726;3;4.7892;0
0.145831;1.53548;3.4937e-05;0.44;1;48.7084;3;3.0145;0
0.0792586;2.03688;2.33892e-05;0.44;1;48.6928;3;3.096;0
0.0824701;1.48483;2.37689e-05;0.44;711;24.8048;3;3.096;0
0.0830811;1.5976;3.5406e-05;0.44;1;43.3089;3;3.039;0
0.136649;1.54546;1.95968e-05;0.44;1;43.2816;3;3.2153;0
0.108335;1.96497;2.27866e-05;0.44;1133;37.1738;3;3.2153;0
0.123786;1.6377;2.37664e-05;0.44;1;48.0516;3;3.0109;0
0.131577;1.92521;3.47221e-05;0.44;1;48.027;3;3.0517;0
0.111892;2.06076;1.97756e-05;0.44;1212;36.8904;3;3.0517;0
